DPA_DESPRO,DPA_DESCAN,DPA_DESPAR,DPA_PARROQ,"ACTUAL
CDD","ACTUAL
SPI","DELTA 2 4,5
CDD","DELTA 2 4,5
SPI","DELTA 2 8,5
CDD","DELTA 2 8,5
SPI","ACTUAL
Amenaz Tendencia Heladas_parr","DELTA 2 RCP 4,5
Amenaz Tendencia Heladas_parr","DELTA 2 RCP 8,5
Amenaz Tendencia Heladas_parr","ACTUAL
Amenaza Tendencia Lluvias_parr","DELTA 2 RCP 4,5
Amenaza Tendencia Lluvias_parr","DELTA 2 RCP 8,5
Amenaza Tendencia Lluvias_parr","ACTUAL
Tendencia OlasCalor_parr","DELTA 2 RCP 4,5
Tendencia OlasCalor_parr","DELTA 2 RCP 8,5
Tendencia OlasCalor_parr","ACTUAL
Indice multiamenaza","DELTA 2 RCP 4,5
Indice multiamenaza","DELTA 2 RCP 8,5
Indice multiamenaza",Exposicion pasto (%),Cabezas de ganado parroquia,Productores parroquia,Indice de tenencia (numero de cabezas de ganado/numero de productores).,Numero socios MAG-MIES-SEPS,Numero de productores,Indice de asociatividad (numero de socios/numero de productores),capacidad de uso de la tierra_parr (SEN1),Degradacion_parr,UBAS,PASTOS,CULT. ASOC,Defor_2014_2016,Indi_ heladas_CIIFEN,Porc_inund,Conflicto gente fauna,% Poblacion migrante masc,% poblacion dedicada a agri y gan. ,Nivel de pobreza por consumo,Tasa de dependencia por edad,Tasa de analfabetismo funcional,Deficit habitacional cualitativo,Deficit de servicios residenciales basicos,Numero de empleados remunerados,Numero de asociaciones MAG-MIES-SEPS,Grado de organizacion (numero de empleados remunerados)/numero de asociaciones,Capacidad de gestion (% ejecucion presupuesto anual),Infraestructura multiproposito_riego,Porc_riego,Porc_Cobert_Nat,Indice de red hidrica,Presencia de sociobosque (%),Pend_parr,Indice de red vial,Herramientas de planificacion CC,Cobertura movil por parroquia,Estimado de volumen de credito,Sistemas productivos pecuarios,Disponibilidad de pronostico del clima,Existencia de camales  vacas/mes,Existencia de CAB,Existencia de CAL capacidad litros,Red monitoreo hidrometeorologico,UMVMAG,Velocidad Infiltracion
MANABI,ROCAFUERTE,ROCAFUERTE,131250,0.001,-0.58,0,-0.608,0.028425,-0.625,0,0,0,0.86,1.32046258,0.733809498,0.437679279,0.682690859,1.011580896,8.4922,2268.4,0.3841,7.7,5671,417,13.6,12,417,0.03,20.59,2.5,5671,2153.8,3000,197.47,0,28.78,0,0.55,42.96,43.7,599,17.8,34.5,86.2,6,8,0.75,0.85,0,19.25,22.29,93,0,9,308.95,1,0.59,438704.89,0,1,154,1,0,3,5,0.74
MANABI,SANTA_ANA,SANTA_ANA_DE_VUELTA_LARGA,131350,0.003,-0.6,0,-0.638,0,-0.655,0,0,0,0.92,1.241832024,0.75189418,0.454646284,0.682724337,0.957359859,14.2463,3538,0.3547,33.59,8845,378,23.399,45,378,0.12,34.78,2.5,8845,10591.75,0,314.93,0,19.73,0,0.84,36.84,45.54,633,23.7,33.5,77.9,8,6,1.33,0.85,0,3.97,19.47,120,0.0035,15,169.26,1,0.7,294604.99,2,0,0,1,0,8,5,0.22
MANABI,SANTA_ANA,AYACUCHO,131351,0.004,-0.6,0,-0.639,0,-0.656,0,0,0,1.01,1.425895457,0.887528224,0.443264405,0.640241872,0.930746925,6.4977,703.2,0.3748,27.92,1758,108,16.278,0,108,0,15.61,2.5,1758,3054.37,0,74.5,0,10.63,0,0.46,50.17,52.87,743,25.6,34.2,98.6,0,0,0,0.1,0,0,26.73,43,0,14,60.8,1,1.4,133560.53,2,1,0,0,0,0,5,0.21
MANABI,SANTA_ANA,HONORATO_VASQUEZ_(CAB_EN_VASQUEZ),131352,0.005,-0.6,0,-0.64,0,-0.657,0,0,0,1.11,1.609958891,1.023162268,0.431882526,0.597759407,0.904133991,4.6545,1550.8,0.395,29.49,3877,181,21.42,0,181,0,10.85,2.5,3877,4615.49,0,70.19,0,1.3,0,0.13,65.58,64.17,768,31,27.7,97.6,0,0,0,1,1,0,23.49,90,0,14,73.66,1,1.43,138435.1,2,1,232,0,0,5,5,0.13
MANABI,SANTA_ANA,LA_UNION,131353,0,-0.6,0,-0.63,0,-0.647,0,0,0,1.18,1.475906601,1.019264658,0.436761583,0.597763417,0.888815302,1.3027,5132,0.3787,60.69,12830,373,34.397,0,373,0,2.04,2,12830,14086.72,0,76.14,0,12.32,0,0.06,71.65,65.86,760,39.8,24.6,100,0,1,0,0.73,0,0,8.14,86,0,12,137.29,1,4.03,166152.34,2,0,0,0,0,2,5,0
MANABI,SANTA_ANA,SAN_PABLO_(CAB_EN_PUEBLO_NUEVO),131355,0,-0.61,0,-0.645,0,-0.662,0,0,0,1.15,1.640418117,1.136581743,0.421542549,0.597770037,0.868415132,5.0195,1990,0.4035,66.29,4975,183,27.186,0,183,0,11.54,2.5,4975,14115.1,0,32.27,0,12.62,0,0.57,74.4,64.52,798,42.2,26.8,100,0,0,0,0.46,0,0,8.12,79,0,12,130.12,1,4.1,141737.76,2,0,0,0,0,1,5,0
MANABI,SUCRE,BAHIA_DE_CARAQUEZ,131450,0.003,-0.59,0.056305769,-0.615,0.106184615,-0.632,0,0,0,1.01,1.477730391,0.820161013,0.457238733,0.682678288,1.060209798,11.36,13.2,0.4645,13.47,33,3,11,0,3,0,28.23,2.5,33,2467.61,0,116.54,0,16,0,1.53,16.38,32.28,586,17.4,37.5,70.7,0,0,0,0.85,0,12.74,41.49,67,2.1084,0,110.63,1,7.98,180291.51,2,1,38,0,0,2,5,0.34
MANABI,SUCRE,CHARAPOTO,131453,0.056,-0.59,0,-0.615,0.047463462,-0.632,0,0,0,0.71,1.363875052,0.772509992,0.443819938,0.682676252,1.038520995,13.9263,711.6,0.4218,8.5,1779,166,10.717,0,166,0,34.23,2.5,1779,1832.1,0,506.62,0,17.55,0,0.95,49.22,41.25,626,22.7,39.4,99.1,0,0,0,0.58,0,0.08,48.17,60,0,0,109.76,1,8.21,416192.04,0,1,117,0,0,2,5,0.11
MANABI,SUCRE,SAN_ISIDRO,131457,0,-0.54,0,-0.56,0,-0.577,0,0,0,1.06,1.745503497,0.96696518,0.451024893,0.682683635,1.080191903,7.7437,9239.6,0.4772,71.42,23099,1064,21.71,104,1064,0.1,17.88,2.5,23099,19852.47,0,38.54,0,3.97,0,0.73,55.14,52.4,728,28.7,39.6,99.7,0,2,0,1,0,0,4.08,93,0.0292,10,121.68,1,4.83,255368.38,2,1,24,1,0,2,5,0.24
MANABI,TOSAGUA,TOSAGUA,131550,0,-0.56,0.068398718,-0.585,0.118277564,-0.602,0,0,0,1,1.504128996,0.816271912,0.457651432,0.682690275,1.010445987,1.1541,6222.8,0.4179,17.29,15557,924,16.837,46,924,0.05,2.13,2.5,15557,4315.26,10000,69.6,0,30.68,0,0.52,44.71,52.14,646,23.8,27.9,98.9,2,1,2,0.85,0,22.94,3.23,66,0,9,219.95,1,2.93,615455.93,2,1,296,1,0,3,5,1.25
MANABI,TOSAGUA,BACHILLERO,131551,0,-0.56,0,-0.59,0.033966667,-0.607,0,0,0,1.05,1.547332405,0.855122131,0.45235342,0.640203335,0.998534922,0.2557,61.6,0.4038,48.96,154,4,38.5,0,4,0,0,2.5,154,2906.95,0,0,0,55.07,0,0.35,47.03,55.01,645,16.4,30.3,99.5,0,0,0,1,0,72.61,2.39,41,0,5,23.41,1,0,89270.87,2,1,0,0,0,0,5,2.3
MANABI,TOSAGUA,ANGEL_PEDRO_GILER_(LA_ESTANCILLA),131552,0,-0.56,0,-0.595,0,-0.612,0,0,0,1.11,1.590535815,0.89397235,0.447055407,0.597716395,0.986623858,0.1212,24.4,0.4008,22.92,61,5,12.2,0,5,0,0,2.5,61,1539.16,0,0,0,53.79,0,0.22,55.31,54.91,624,21.9,31.5,98.8,0,0,0,1,0,0,1.43,42,0,2,61.82,1,3,169763.91,2,0,0,0,0,2,5,1.16
MANABI,24_DE_MAYO,SUCRE,131650,0,-0.58,0,-0.615,0,-0.632,0,0,0,0.64,1.119842456,0.698260651,0.461665196,0.682697388,0.97046252,6.2651,1066.4,0.3399,18.67,2666,194,13.742,0,194,0,15.07,2.5,2666,3666.6,0,338.19,0,12.3,0,0.79,44.14,49.12,736,27.3,30.8,93.1,0,0,0,0.85,0,0,41.57,61,0.0865,13,114.31,1,2.84,51977.61,2,1,0,0,0,1,5,0.34
MANABI,24_DE_MAYO,BELLAVISTA,131651,0,-0.48,0,-0.51,0.037713462,-0.527,0,0,0,0.87,1.128370457,0.750739651,0.466752761,0.597735282,0.928781385,0.3412,1185.6,0.2924,38.25,2964,169,17.538,0,169,0,0,2.5,2964,3942.55,0,207.79,0,11.25,0,0.16,55.82,62.84,801,30.5,22.7,95.8,0,0,0,1,0,0,29.83,38,0,13,77.01,1,2.24,24087.53,2,0,0,0,0,0,5,0.02
MANABI,24_DE_MAYO,NOBOA,131652,0,-0.48,0.053526923,-0.487,0.103405769,-0.505,0,0,0,0.91,1.105867389,0.728372602,0.461158364,0.640230186,0.934295637,0.2285,760,0.2957,25.6,1900,126,15.079,25,126,0.2,0,2.5,1900,3736.68,0,315.87,0,17.84,0,0.67,72.32,65.13,858,39.7,27.1,99.9,1,1,1,1,0,0,38.01,60,0,12,96.79,1,1.79,41534.07,2,1,0,0,0,0,5,0.41
MANABI,24_DE_MAYO,ARQ._SIXTO_DURAN_BALLEN,131653,0.016,-0.43,0.119219231,-0.465,0.169098077,-0.482,0,0,0,0.94,1.083364321,0.706005552,0.455563967,0.682725091,0.939809889,0.4449,1796,0.2991,45.63,4490,204,22.01,27,204,0.13,0,2,4490,3645.95,500,57.57,0,23.41,0,0.24,64.36,65.58,783,36,27.9,100,11,1,11,1,0,0,7.55,26,0,11,67.77,1,1.55,22308.5,2,0,0,0,0,1,5,0.08
MANABI,PEDERNALES,PEDERNALES,131750,0.001,-0.56,0.056191758,-0.601,0.106070604,-0.618,0,0,0,1.31,2.039919901,1.280437918,0.39382186,0.597669839,1.114455501,1.0014,21307.2,0.6325,57.58,53268,1516,35.137,136,1516,0.09,1.27,2.5,53268,44091.41,8000,442.86,0,5.71,0,0.66,24.12,45.7,767,33.7,45.1,90.4,6,3,2,0.85,0,0,25.1,430,0.2057,0,170.78,1,1.04,1143871.47,2,1,240,0,4000,2,5,2.3
MANABI,PEDERNALES,COJIMIES,131751,0,-0.56,0.073145055,-0.594,0.123023901,-0.611,0,0,0,1.26,1.939761554,1.277883619,0.396516712,0.597652098,1.138633648,0.2278,2431.2,0.6505,36.65,6078,152,39.987,54,152,0.36,0,2.5,6078,27000.71,0,885.82,0,19.73,0,0.39,60.15,64.85,936,39.7,43.9,99.9,2,4,0.5,0.66,0,0,42.02,350,0,0,84.97,1,1.59,1162394.82,2,1,0,0,0,2,5,0.66
MANABI,PEDERNALES,10_DE_AGOSTO,131752,0.013,-0.55,0,-0.588,0,-0.605,0,0,0,1.1,1.967604203,1.206345375,0.400199539,0.682694118,1.075090682,5.0914,5619.2,0.5538,55.48,14048,581,24.179,33,581,0.06,11.49,2,14048,12937.49,0,183.66,0,1.61,0,0.15,73.63,68.79,918,43.9,38.1,99.9,0,2,0,1,0,0,12.99,98,0.4398,9,65.94,1,2.74,541007.32,2,1,0,0,0,0,5,0
MANABI,PEDERNALES,ATAHUALPA,131753,0,-0.58,0.042728846,-0.61,0.092607692,-0.627,0,0,0,1.01,2.087932002,1.317568459,0.387352429,0.597685048,1.084873335,2.9087,5244,0.6219,73.36,13110,388,33.789,120,388,0.31,5.82,2.5,13110,12370.5,0,89.37,0,2.52,0,0.08,54.73,69.9,858,39.8,45.2,100,1,3,0.33,0.44,1,0,12.04,92,0.2615,9,11.62,1,0.64,198136.46,2,1,0,1,1500,0,5,1.2
MANABI,OLMEDO,OLMEDO,131850,0,-0.6,0,-0.635,0,-0.652,0,0,0,1.11,1.292964729,0.883686364,0.442506944,0.59776117,0.887391576,1.0821,5882.8,0.3403,54.44,14707,753,19.531,127,753,0.17,1.49,2.5,14707,13800.31,0,156.04,0,14.04,0,0.53,53.93,60.73,747,32,25.5,99.5,3,5,0.6,0.85,0,0,10.64,100,0,11,169.19,1,0.43,4056.95,2,1,0,1,0,1,5,0.03
MANABI,PUERTO_LOPEZ,PUERTO_LOPEZ,131950,0,-0.31,0,-0.335,0.026482692,-0.352,0,0,0,0.45,0.685138952,0.468085714,0.529979663,0.767613293,1.090054934,0.214,690.4,0.2591,1.81,1726,219,7.881,39,219,0.18,0,2.5,1726,361.64,1300,181.27,0,7.54,0,0.76,29.79,51.03,670,22.4,42.8,99.9,1,2,0.5,0.85,0,0,93.9,65,0.0008,15,51.37,1,0,53495.49,0,0,0,0,0,0,5,0.02
MANABI,PUERTO_LOPEZ,MACHALILLA,131951,0,-0.31,0.054498077,-0.247,0.104376923,-0.265,0,0,0,0.47,0.661808018,0.447948305,0.52167544,0.767601006,1.103385509,0.2094,96.8,0.2465,0.58,242,25,9.68,0,25,0,0,2.5,242,81.19,150,54.19,0,10.87,0,0.43,51.42,58.61,680,30.6,41.2,100,0,0,0,0.86,0,0,93.36,39,0,0,41.83,1,2.73,42155.24,0,1,0,0,0,1,5,0.08
MANABI,PUERTO_LOPEZ,SALANGO,131952,0.035,-0.13,0.132392308,-0.16,0.182271154,-0.177,0,0,0,0.48,0.638477085,0.427810896,0.513371217,0.767588719,1.116716085,0.0937,81.6,0.2339,10.35,204,17,12,0,17,0,0,2.5,204,922.57,0,258.61,0,9.6,0,1.06,34.11,53.77,684,24.8,47.3,99.9,0,0,0,1,0,0,78.94,39,0.5367,12,29.51,1,2.32,25413.78,2,1,0,0,0,1,5,0.21
MANABI,JAMA,JAMA,132050,0,-0.53,0,-0.564,0,-0.581,0,0,0,1.06,1.713999495,0.983476601,0.454319851,0.682666568,1.102176814,10.2428,6537.6,0.4998,41.17,16344,487,33.561,102,487,0.21,24.75,2.5,16344,23831.71,0,736.64,0,9.45,0,0.48,52.52,56.34,679,22.7,45.9,92.7,9,2,4.5,0.85,0,0,42.94,227,3.1063,9,314.04,1,1.44,230633.54,2,1,20,1,0,2,5,0
MANABI,JARAMIJO,JARAMIJO,132150,0,-0.53,0,-0.573,0,-0.59,0,0,0,1.01,1.630990377,0.925612279,0.460504515,0.682671897,1.087143881,2.1452,14.8,0.4755,1.15,37,4,9.25,0,4,0,5.19,3,37,111.62,0,79.51,0,31.75,0,0.44,33.99,54.33,690,24.6,37.5,83.2,0,0,0,0.85,0,0,75.64,23,0,0,98.39,1,2,51002.59,0,1,0,0,0,0,5,0.47
MANABI,SAN_VICENTE,SAN_VICENTE,132250,0,-0.56,0,-0.582,0.015261538,-0.6,0,0,0,0.96,1.547981259,0.867747957,0.46668918,0.682677226,1.072110949,10.1789,6891.2,0.4545,44.24,17228,569,30.278,139,569,0.24,24.39,2.5,17228,14282.75,2800,955.93,0,19.3,0,1.61,28.47,44.15,639,23.7,41.4,88.8,0,1,0,0.85,0,5.13,32.1,153,1.2943,10,169.5,1,1.68,304834.45,2,1,0,0,0,4,5,1.11
MANABI,SAN_VICENTE,CANOA,132251,0,-0.56,0,-0.571,0,-0.588,0,0,0,0.93,1.479272025,0.813680465,0.474275174,0.682648565,1.112517591,5.4735,2831.6,0.4609,45.88,7079,182,38.896,92,182,0.51,12.91,2.5,7079,17706.91,0,1253.31,0,11.51,0,0.57,52.97,58.86,694,30.3,41.5,99.9,1,2,0.5,0.46,0,0,34.53,183,1.7156,11,194.86,1,2.98,258028.78,2,1,0,0,0,1,5,0
MORONA_SANTIAGO,MORONA,MACAS,140150,0,0.08,0,0.128366667,0,0.115375,0,0,0,0.41,0.67046524,0.729749055,0.183806989,0.294254373,0.441293368,25.3837,174.4,0.1271,49.43,572,23,24.87,18,23,0.78,62.29,2.5,572,2649.61,0,37.35,2,0,0,4.01,6.32,19.5,570,10.6,32.8,29.1,1,2,0.5,0.89,0,0,22.12,26,0,7,8.12,0,0.79,131729.13,2,1,553,0,0,2,2,3.7
MORONA_SANTIAGO,MORONA,ALSHI_(CAB_EN_9_DE_OCTUBRE),140151,0,0.07,0,0.104366667,0,0.091375,0,0,0,0.33,0.62631838,0.634201405,0.214799896,0.342995476,0.514902622,0.3772,284.2106,0.1627,10.6,919,47,19.553,0,47,0,0.17,2.5,919,2904.23,0,80.91,2,0,0,5.04,42.73,39.62,714,6.9,54.9,84.3,0,0,0,1,0,0,84.6,125,0,13,21.18,0,0,19739.15,2,1,0,0,0,1,2,1.87
MORONA_SANTIAGO,MORONA,GENERAL_PROANO,140153,0,0.07,0,0.111516667,0,0.098525,0,0,0,0.33,0.661433999,0.684393611,0.195255559,0.340152822,0.539306204,4.0881,842.8319,0.2038,61.47,2715,103,26.359,0,103,0,8.69,2.5,2715,4108.8,0,15.22,2,0,0,4.55,29.59,52.27,815,15.3,45.2,84.1,0,0,0,1,0,0,12.51,58,0,11,24.02,0,0,83301.24,2,1,0,0,0,0,2,3.47
MORONA_SANTIAGO,MORONA,SAN_ISIDRO,140156,0,0.07,0,0.118666667,0,0.105675,0,0,0,0.32,0.696549618,0.734585816,0.175711223,0.337310169,0.563709786,1.5694,938.1181,0.2448,47.31,3127,93,33.624,0,93,0,2.63,2.5,3127,6094.59,0,130.41,2,0,0,10.34,55.22,54.56,725,14.7,47.8,69,0,0,0,1,0,0,34.35,66,0.1806,13,23.12,0,0,47116.47,2,0,0,0,0,1,2,3.9
MORONA_SANTIAGO,MORONA,SEVILLA_DON_BOSCO,140157,0.001,0.12,0,0.166083333,0,0.153091667,0,0,0,0.97,0.569411922,0.869990422,0.172685767,0.362029236,0.558662756,6.6151,1709.2838,0.2883,6.46,5678,252,22.532,13,252,0.05,15.78,2.5,5678,14892.59,0,1786.15,2,4.77,0,0.99,64.03,70.16,1054,17.2,40.4,98.2,4,1,4,0.89,0,0,87.37,1237,2.1746,6,120.23,0,0,933503.94,0,1,0,0,0,0,2,2.94
MORONA_SANTIAGO,MORONA,SINAI,140158,0,0.08,0,0.120116667,0,0.107125,0,0,0,0.33,0.715984852,0.86506418,0.172460453,0.292719836,0.451007829,0.7801,769.9457,0.1845,11.73,2566,121,21.207,88,121,0.73,1.01,2.5,2566,4636.13,0,302.18,2.14,0,0,5.48,72.35,33.86,925,20.6,37.2,88.8,2,3,0.67,1,0,0,78.03,212,1.4568,21,46.65,0,0,60238.48,2,1,0,0,0,1,2,3.31
MORONA_SANTIAGO,MORONA,ZUNA_(ZUNAC),140160,0.003,0.03,0,0.087429167,0,0.0744375,-0.0931875,-0.0931875,-0.0931875,0.22,0.591832558,0.565540846,0.264174357,0.318019957,0.494980607,2.0135,108.3229,0.1194,1.18,342,28,12.214,0,28,0,4.19,2.5,342,733.51,0,27.72,2.42,0,0,14.16,56.18,51.73,890,20.3,54.7,100,0,0,0,0.94,0,0,98.11,233,0.5655,21,26.85,0,0,13617.37,0,0,0,0,0,2,2,1.55
MORONA_SANTIAGO,MORONA,CUCHAENTZA,140162,0,0.09,0,0.142466667,0,0.129475,0,0,0,0.89,0.68866097,1.162860295,0.264119724,0.316945937,0.525117707,0.3636,701.0539,0.361,11.32,2299,143,16.077,57,143,0.4,0,2,2299,4020.04,0,533.87,2,0,0,0.33,73.22,75.88,1206,16.9,47.6,100,0,4,0,0.74,0,0,80.07,152,0.2112,6,6.82,0,0,142060.94,2,0,0,0,0,0,2,2.95
MORONA_SANTIAGO,MORONA,RIO_BLANCO,140164,0,0.06,0,0.105691667,0,0.0927,0.0042,0.0042,0.0042,0.35,0.583124659,0.621239454,0.293410376,0.320444585,0.522858332,4.8304,797.3492,0.2657,7.93,2601,85,30.6,0,85,0,11.11,2.5,2601,3611.89,0,75.37,2.09,0,0,3.87,40.65,44.46,809,17.5,35,95.2,0,0,0,0.51,0,0,87.71,225,0.5004,21,19.26,0,0,88014.98,0,0,0,0,0,0,2,2.52
MORONA_SANTIAGO,GUALAQUIZA,GUALAQUIZA,140250,0,0.12,0,0.185191667,0,0.1722,0,0,0,0.61,0.255488728,0.41613474,0.22481406,0.357663846,0.621409825,8.055,2311.2208,0.1859,43.7,8479,342,24.792,58,276,0.21,19.08,2.5,7628,16685.69,0,207.67,1.33,0,0,5.48,23.16,23.97,680,13.6,43.6,39.4,2,2,1,0.89,0,0,34.29,167,1.5533,20,60.26,0,1.63,533869.56,1,1,105,0,0,2,2,3.52
