DPA_DESPRO,DPA_DESCAN,DPA_DESPAR,DPA_PARROQ,"ACTUAL
CDD","ACTUAL
SPI","ACTUAL
Amenaz Tendencia Heladas_parr","ACTUAL
Amenaza Tendencia Lluvias_parr","ACTUAL
Tendencia OlasCalor_parr","ACTUAL
Indice multiamenaza",Exposicion pasto (%),Cabezas de ganado parroquia,Productores parroquia,Indice de tenencia (numero de cabezas de ganado/numero de productores).,Numero socios MAG-MIES-SEPS,Numero de productores,Indice de asociatividad (numero de socios/numero de productores),capacidad de uso de la tierra_parr (SEN1),Degradacion_parr,UBAS,PASTOS,CULT. ASOC,Defor_2014_2016,Indi_ heladas_CIIFEN,Porc_inund,Conflicto gente fauna,% Poblacion migrante masc,% poblacion dedicada a agri y gan. ,Nivel de pobreza por consumo,Tasa de dependencia por edad,Tasa de analfabetismo funcional,Deficit habitacional cualitativo,Deficit de servicios residenciales basicos,Numero de empleados remunerados,Numero de asociaciones MAG-MIES-SEPS,Grado de organizacion (numero de empleados remunerados)/numero de asociaciones,Capacidad de gestion (% ejecucion presupuesto anual),Infraestructura multiproposito_riego,Porc_riego,Porc_Cobert_Nat,Indice de red hidrica,Presencia de sociobosque (%),Pend_parr,Indice de red vial,Herramientas de planificacion CC,Cobertura movil por parroquia,Estimado de volumen de credito,Sistemas productivos pecuarios,Disponibilidad de pronostico del clima,Existencia de camales  vacas/mes,Existencia de CAB,Existencia de CAL capacidad litros,Red monitoreo hidrometeorologico,UMVMAG,Velocidad Infiltracion
LOJA,PALTAS,CASANGA,110958,0.1560877,-0.6892,0,0.3804925,0.4067629,430,0.0626704,1075,55,19.5454545,35,55,0.6363636,34.06,2,1075,3.277776,700,98.782212,1,12.36,0,1.7185822,70.88,52.01,977,24.8,24.7,95.2,0,1,0,1,0,0,17.15,34.5507558,0,11,29.596832,1,0,64948.83247,0,1,0,0,0,1,4,0.13
LOJA,PALTAS,YAMANA,110959,0,-0.6892,0,0.369,0.406774,30.4,0,76,6,12.6666667,0,6,0,35.87,2.5,76,0,0,9.346953,1,15.59,0,1.2903226,66.34,48.73,899.1,22.4,23.7,83.5,0,0,0,1,0,0,6.45,8.628971,0,16,10.7122733,1,0,41828.03824,0,1,0,0,0,0,4,0.3
LOJA,PUYANGO,ALAMOR,111050,0.1663608,-0.6982,0,0.4139023,0.3617218,5312.010893,53.0356787,13280,578,22.9757785,50,578,0.0865052,19.53,2.5,13280,12665.18678,0,274.633681,1,0.88,0,2.4277737,34.95,35.52,658.2,14.5,40,58.1,0,3,0,0.9081377,0,1.23,17.28,159.3619843,0.217867,0,63.1823889,1,0,972906.2881,1,1,62,1,0,3,4,0.04
LOJA,PUYANGO,CIANO,111051,0.6209415,-0.7312,0,0.3930703,0.3617356,825.2,43.3023629,2063,102,20.2254902,21,102,0.2058824,3.3,2,2063,3511.419792,0,38.543543,1,0,0,2.0804438,70.69,38.73,749.7,19.3,39.1,96.8,0,1,0,1,0,0,22.54,43.3592142,0,15,27.4231144,1,0,338245.9413,1,1,0,0,0,2,4,0.09
LOJA,PUYANGO,EL_ARENAL,111052,0.26758,-0.7192,0,0.4403656,0.3617368,528.8,53.6344489,1322,93,14.2150538,0,93,0,22.05,2,1322,1533.619741,0,32.04,1,0,0,2.3483366,65.72,51.61,764.4,19.9,36.8,91.1,0,0,0,0.9955523,0,0,10.79,10.4521683,0,15,7.6966289,1,2.1207408,216332.4402,1,0,0,0,0,0,4,0
LOJA,PUYANGO,EL_LIMO_(MARIANA_DE_JESUS),111053,0.9728185,-0.6422,0,0.4001004,0.406703,1664.082917,26.8743209,4159,219,18.9908676,0,219,0,6.91,2,4159,5480.074332,0,620.500931,1,4.42,0,1.0077519,81.82,57.95,711.2,20.2,36.5,92.8,0,0,0,1,0,0,50.2,145.8957874,9.6583306,0,26.1946347,1,0,650673.1831,1,1,0,0,0,1,4,0.03
LOJA,PUYANGO,MERCADILLO,111054,0.6767223,-0.6377,0,0.350611,0.3855382,545.7201911,40.6711982,1364,85,16.0470588,0,85,0,74.48,2,1364,1134.637149,0,9.27,1,0,0,1.5025042,55.69,30.81,677.1,18.5,35.5,78.5,0,0,0,1,0,0,20.39,6.2753555,2.4038217,15,9.4962786,1,2.2983222,219381.7021,1,1,0,0,0,0,4,0
LOJA,PUYANGO,VICENTINO,111055,0.6767223,-0.6377,0,0.350611,0.3855382,908.8,49.4422195,2272,149,15.2483221,0,149,0,22.82,2,2272,2806.883942,0,30.688374,1,0,0,2.1671827,70.52,43.02,867.3,19.3,31.4,86.1,0,0,0,0.9933258,0,0,13.51,26.7817167,0,15,8.4487949,1,1.6749717,299571.9154,1,1,0,0,0,0,4,0.05
LOJA,SARAGURO,SARAGURO,111150,0.3806262,-0.6332,0,0.3011215,0.3643733,1772,51.1926643,4430,444,9.9774775,46,444,0.1036036,73.35,2.333333,4430,3785.797077,0,11.25,1.129032,0,0,5.3453169,38.43,30.85,768.7,21.7,37.2,68.2,0,3,0,0.9081377,0,1.81,37.91,22.5115616,0,17,52.5248,4,0,143331.7328,2,1,59,0,0,1,4,2.86
LOJA,SARAGURO,EL_PARAISO_DE_CELEN,111151,0.3909146,-0.6262,0.00125,0.2885501,0.3682881,387.379019,44.0035808,967,132,7.3257576,0,132,0,21.08,2,967,2727.879255,0,7.56,1.08,0,0,0.0796178,60.12,64.92,958.1,42.5,30.4,94.9,0,0,0,1,1,0,51.46,27.2136496,11.5803802,21,19.2977856,4,3.4977265,68346.94918,2,0,0,0,0,1,4,3.34
LOJA,SARAGURO,EL_TABLON,111152,0.4012031,-0.6192,0.0025,0.2759786,0.3722029,45.1048375,13.9454677,112,17,6.5882353,0,17,0,18.2,2,112,1348.048514,0,0.9,1,0,0,0.9153318,68.07,66.35,959.4,36.8,29.4,94.9,0,0,0,1,0,15.91,62.32,58.5071056,6.096751,0,48.6271963,4,0,25738.81106,2,1,0,0,0,0,4,2.7
LOJA,SARAGURO,LLUZHAPA,111153,0.3765377,-0.6262,0.00125,0.3109947,0.4026103,308.4,40.9931562,771,131,5.8854962,25,131,0.1908397,46.17,2,771,2994.198485,0,4.541429,1,0,0,4.9160671,80.84,60.46,1142,37.7,32.3,93.3,0,1,0,0.8883787,0,0,38.51,30.2210347,0,0,26.405577,4,3.5842294,56834.76699,2,1,0,0,0,0,4,2.16
LOJA,SARAGURO,MANU,111154,0.3518723,-0.6332,0,0.3460107,0.4330177,991.7206137,39.1277297,2479,254,9.7598425,0,254,0,41.03,2.5,2479,6759.768665,0,42.158242,1,0,0,4.940239,74.63,47.09,964.7,28.9,29.6,83.2,0,0,0,1,0,0,45.81,71.1650859,2.4122741,23,65.5551039,4,0,82103.68742,2,0,0,0,0,1,4,3.14
LOJA,SARAGURO,SAN_ANTONIO_DE_QUMBE_(CUMBE),111155,0.3714954,-0.6297,0.00125,0.3310268,0.3998735,134,32.1466859,335,46,7.2826087,0,46,0,23.7,2,335,2513.018497,0,5.58,1,0,0,3.7735849,80.76,59.43,851.4,37.2,23.5,95.1,0,0,0,1,0,0,46.83,32.6919076,0,24,30.493489,4,1.0834236,38163.15959,2,1,0,0,0,0,4,3.03
LOJA,SARAGURO,SAN_PABLO_DE_TENTA,111156,0.3911185,-0.6262,0.0025,0.3160429,0.3667294,704.0159763,42.6222658,1760,224,7.8571429,69,224,0.3080357,42.15,2,1760,6677.700065,0,68.480981,1.083333,0,0,3.606182,66.95,55.13,868.8,29.9,27.5,98.8,0,1,0,0.9986036,1,2.11,56.06,68.467243,0.3195266,24,57.5641535,4,0,101482.108,2,1,0,0,0,0,4,2.51
LOJA,SARAGURO,SAN_SEBASTIAN_DE_YULUC,111157,0.3727031,-0.6472,0,0.3639901,0.3598488,33.2,8.8700746,83,19,4.3684211,0,19,0,3.33,2,83,1024.52898,0,6.030296,0.705882,0,3,8.1419624,80.65,40.56,856.3,27.4,20.6,90.8,0,0,0,1,0,0,66.46,40.9504644,0,0,35.639352,4,0.9276438,32657.22325,0,1,0,0,0,0,4,2.82
LOJA,SARAGURO,SELVA_ALEGRE,111158,0.3686185,-0.6332,0,0.3564145,0.3890466,205.2,63.2492956,513,66,7.7727273,0,66,0,31.36,2.333333,513,2856.586735,0,4.908571,1,0,0,3.1007752,74.69,63.11,1083.2,32.1,34,88.5,0,0,0,0.9058688,0,0,36.12,16.3079946,0,24,10.1670547,4,6.7613252,59348.20248,2,0,0,0,0,0,4,2.74
LOJA,SARAGURO,URDANETA_(PAQUISHAPA),111159,0.3990877,-0.6192,0.0025,0.2866664,0.3650869,213.6048064,29.0238198,534,81,6.5925926,0,81,0,33.72,1.5,534,3406.236515,0,22.23,1.047619,0,0,2.9080119,53.73,45.59,891.5,37.5,36,91.4,0,0,0,1,0,3.24,64.2,62.477595,0.0961288,0,48.8096058,4,0,83437.35953,2,1,0,0,0,1,4,3.35
LOJA,SARAGURO,SUMAYPAMBA,111160,0.3964377,-0.6262,0,0.3602654,0.3553937,0,11.2442515,0,0,0,0,0,0,26.29,2,0,1022.526064,0,0,1,0,0,9.7529259,81.5,40.13,849.2,31.2,23.1,87.6,0,0,0,1,0,0,62.29,33.383345,0,0,38.7295895,4,1.0344471,53568.47975,2,0,0,0,0,0,4,2.58
LOJA,SOZORANGA,SOZORANGA,111250,0.0515838,-0.7242,0,0.3457251,0.406766,501.6234546,12.9572606,1254,42,29.8571429,39,42,0.9285714,18.05,2.5,1254,3745.635715,0,247.330076,1.181818,0.53,0,2.1783181,55.12,54.08,894.7,18.2,25.3,81.9,0,1,0,0.9081377,0,0,70.79,108.4556044,0.4690923,19,43.1088363,1,1.3691128,61048.3164,1,1,5,0,0,2,4,0.08
LOJA,SOZORANGA,NUEVA_FATIMA,111251,0.1324262,-0.7312,0,0.3457251,0.406766,183.6,21.9494905,459,22,20.8636364,0,22,0,32.67,2,459,1019.148401,0,117.799762,1.142857,0,0,9.2274678,77.08,53.16,967.3,24.9,24.2,96.4,0,0,0,1,0,0,42.75,17.2366103,0,21,9.8415062,1,0.5788377,20497.01436,2,1,0,0,0,0,4,0
LOJA,SOZORANGA,TACAMOROS,111252,0,-0.7452,0,0.3085875,0.3595226,229.2,28.9731206,573,45,12.7333333,0,45,0,6.96,2,573,2205.406256,0,30.882899,1,2.63,0,4.6494465,81.99,50.38,855,25,29.1,95.7,0,0,0,1,0,0,12.11,35.7536225,0,22,17.3959684,1,1.2792631,67629.33925,2,1,0,0,0,0,4,0.06
LOJA,ZAPOTILLO,ZAPOTILLO,111350,1.4986005,0.2068,0,0.3805383,0.4066964,965.2181977,1.8564837,2413,142,16.9929577,0,142,0,1.88,2.5,2413,361.503687,0,41.339715,1,2.65,0,1.2258369,30.93,29.66,649.5,24.2,37.7,68.1,0,0,0,0.9081377,1,28.23,57.48,84.4803198,0.3639542,11,88.7209098,2,0.6382843,45746.0548,0,1,30,0,0,2,4,0.22
LOJA,ZAPOTILLO,MANGAHURCO,111351,1.5075108,-0.0602,0,0.3430746,0.4066684,0.071849,6.2625675,0,0,0,0,0,0,6.15,2.5,0,1076.382866,0,157.045592,0,13.57,0,1.2539185,70.78,52.86,759.8,27.5,26.5,97.5,0,0,0,0.4948498,1,0,86.16,72.1863927,1.4369794,15,49.6070204,2,0.8658009,28998.05509,0,0,0,0,0,4,4,0.03
LOJA,ZAPOTILLO,GARZAREAL,111352,1.4861838,0.2068,0,0.3947933,0.4066918,230.6327458,1.8411977,576,41,14.0487805,0,41,0,1.12,2.5,576,349.704981,0,88.484085,1,4.76,0,0.8316008,79.62,54.42,753.9,25.1,26.1,98.4,0,0,0,1,0,13.55,79.74,59.0459988,4.6549154,8,76.8929011,2,2.214349,49597.58993,0,0,0,0,0,0,4,0
LOJA,ZAPOTILLO,LIMONES,111353,1.5161005,0.2068,0,0.3378343,0.4066853,64.2002498,2.5453713,160,9,17.7777778,0,9,0,0,2,160,589.315577,0,109.575842,1,0,0,1.2048193,75.54,46.64,740.7,30.9,24.9,95.5,0,0,0,0.9336608,1,2.88,85.18,89.1259341,4.004996,0,113.6288918,2,1.7041581,37232.89398,0,1,0,0,0,0,4,0.13
LOJA,ZAPOTILLO,PALETILLAS,111354,1.4490415,-0.1442,0,0.3995593,0.4066924,571.6981669,7.157276,1429,80,17.8625,0,80,0,20.22,2.5,1429,1254.184161,0,150.933907,1,0.61,0,1.0152284,75.57,60.88,845,26.2,24.7,93.8,0,0,0,0.3697969,1,0,45.36,66.223293,1.9633385,15,72.065122,2,0,69502.58713,0,1,0,0,0,1,4,0
LOJA,ZAPOTILLO,BOLASPAMBA,111355,1.4817608,-0.1162,0,0.3846356,0.406685,0.0441946,3.2129635,0,0,0,0,0,0,5.51,2.5,0,422.312308,0,163.302571,0,6.07,0,1.5151515,85.3,68.26,777.4,37.9,19.8,98.4,0,0,0,1,0,0,79.16,59.7339866,0.8838914,15,29.9042253,2,1.3837,32382.43907,0,1,0,0,0,1,4,0.05
LOJA,ZAPOTILLO,CAZADEROS,111356,1.1603262,-0.4392,0,0.3299841,0.4066657,0.852,0.8109415,301,18,16.017,18,18,1,14.49,2,0,95.761274,0,23.528349,0.5,3.03,0,1.3468013,63.71,48.57,842,23,30.48,85.2,0,1,0,0.9081377,0,0,92.87,47,17.04,13,28.19,2,1.1,0,0,0,0,0,0,0,0,0.02
LOJA,PINDAL,PINDAL,111450,1.7131531,-0.5092,0,0.3597543,0.4066911,979.6,22.1879973,2449,173,14.1560694,24,173,0.1387283,23.47,2.333333,2449,1125.657394,500,42.165004,1,0,0,0.8191126,65.74,31.64,747.4,17.8,40,74.2,0,1,0,0.9081377,1,0,14.22,18.6850615,0,12,17.267792,1,0,587612.6548,2,1,26,0,0,1,4,0
LOJA,PINDAL,CHAQUINAL,111451,1.7131531,-0.5092,0,0.3597543,0.4066911,278.4,58.5235724,696,54,12.8888889,0,54,0,45,2,696,1010.006631,0,10.860846,1,0,0,0.1715266,74.86,54.6,675.4,24.2,21.2,100,0,0,0,1,1,0.4,9.36,5.2704213,0,15,10.9273295,1,0,128629.0994,2,1,0,0,0,0,4,0
LOJA,PINDAL,12_DE_DICIEMBRE_(CAB._EN_ACHIOTES),111452,1.7131531,-0.5092,0,0.3597543,0.4066911,305.2,26.4179164,763,63,12.1111111,0,63,0,20.91,2,763,1149.415827,0,30.076212,1,0,0,0.5055612,68.52,60.68,809.6,23.4,36.2,86.7,0,0,0,0.8883495,0,0,8.13,15.0640941,0,15,24.0483261,1,1.5405947,204442.1358,2,1,0,0,0,0,4,0.03
LOJA,PINDAL,MILAGROS,111453,2.26598,-0.5792,0,0.3895245,0.4067166,0,14.8313728,0,0,0,0,0,0,34.61,2,0,1345.552147,0,68.867132,0.5,0,0,0.4987335,63.71,48.57,842,23,30.48,85.2,0,0,0,1,0,0,33.9,28,0,14,60.32,1,1.1,0,2,0,0,0,0,0,0,0.01
LOJA,QUILANGA,QUILANGA,111550,0.1778569,-0.6612,0,0.3120336,0.3961066,844,48.5422564,2110,109,19.3577982,34,109,0.3119266,48.32,2.5,2110,4480.319329,0,2.97,0,0,0,3.8239538,57.75,38.79,851,24.7,25.7,74.1,0,2,0,0.9081377,1,0,33.02,39.8727819,0,14,37.0799385,1,0,164940.3539,1,1,2,0,0,1,4,0
LOJA,QUILANGA,FUNDOCHAMBA,111551,0.168989,-0.6705333,0,0.2978374,0.3975033,240,12.1764881,600,40,15,0,40,0,20.42,2,600,438.040181,0,8.28,0,0,0,6.8421053,71.05,29.51,705.3,27.6,29.6,70.4,0,0,0,1,1,0,74.27,12.3018912,0,23,9.5344239,1,0,26326.01833,2,0,0,0,0,0,4,0
LOJA,QUILANGA,SAN_ANTONIO_DE_LAS_ARADAS_(CAB._EN_LAS_ARADAS),111552,0.160121,-0.6798667,0,0.2836412,0.3988999,229.6479378,11.2745282,574,19,30.2105263,0,19,0,72.07,2,574,1215.413045,0,17.1,2,0,0,2.4806202,78.49,54.96,868.3,30.2,25.2,90.9,0,0,0,1,1,0.04,76.86,56.7612074,0.958756,23,19.8339759,1,0,104055.2678,2,1,0,0,0,0,4,0.05
LOJA,OLMEDO,OLMEDO,111650,0,-0.6631,0,0.7390139,0.5407891,133.2,4.0722903,333,25,13.32,0,25,0,0,2,333,247.527722,0,47.058525,1,0,0,1.2609117,63.8,56.8,888.5,18.1,36.5,89.3,0,0,0,0.9081377,0,0,15.54,14.029776,0,19,35.6432383,1,0.5706785,65096.39892,0,0,0,0,0,1,4,0.05
LOJA,OLMEDO,LA_TINGUE,111651,0,-0.6631,0,0.7390139,0.5407891,278.8,3.0641079,697,55,12.6727273,0,55,0,0,2,697,157.774574,290,66.172026,1,0,0,0.5555556,76.47,57.31,976.3,25.8,30.8,96.4,0,0,0,1,0,0,17.05,20.3042987,0,25,9.0039032,1,0,12403.60108,0,1,0,0,0,0,4,0.06
MANABI,PORTOVIEJO,PORTOVIEJO,130150,0,-0.646,0,1.194386684,0.682678369,28.3112,3.94,1927,143,13.476,6,6,1,40.73,2.5,59,1647.47,0,408.93,0,22.23,0,1.51,7.71,15.36,554,12.2,33.5,54.7,5,5,1,0.85,0,4.5,48.21,125,0.8892,6,270.18,1,2.04,182596.7,0,1,932,0,0,2,5,0.22
MANABI,PORTOVIEJO,ABDON_CALDERON_(SAN_FRANCISCO),130151,0,-0.642,0,1.394634899,0.682719338,1016.7599,22.48,2531,147,17.218,0,147,0,35.26,2.5,2531,2788.41,0,81.36,0,18.84,0,0.72,41.84,33.15,650,17.9,32,99.7,1,2,0.5,1,0,0,39.63,42,0,9,96.49,1,2.91,62913.5,2,0,0,0,0,0,5,0.23
MANABI,PORTOVIEJO,ALHAJUELA_(BAJO_GRANDE),130152,0,-0.638,0,1.342401986,0.68269306,168.1193,20.42,376,38,9.895,0,38,0,40.39,2,376,498.2,0,7.65,0,23.26,0,0.98,34.08,34.74,717,20.4,32,100,0,0,0,0.71,0,0,34,9,0,17,12.41,1,2.74,13581.89,2,1,0,0,0,1,5,0
MANABI,PORTOVIEJO,CRUCITA,130153,0,-0.635,0,1.290169072,0.682666781,4,0.9,10,1,10,0,1,0,34.97,2.5,10,56.16,0,30.88,0,21.2,0,0.78,50.48,31.26,633,22.5,45.7,99.7,1,1,1,0.93,1,19.63,60.07,16,0,9,45.29,1,0,75294.27,0,1,0,0,0,0,5,0.35
MANABI,PORTOVIEJO,PUEBLO_NUEVO,130154,0,-0.63,0,1.292581719,0.682678569,166.3408,18.97,407,36,11.306,0,36,0,67.64,2,407,693.21,0,28.63,0,11.35,0,0.49,43.94,38.14,675,26.9,30.1,98.6,0,1,0,1,1,0,45.23,8,0,6,36.98,1,1.41,14782.52,2,1,0,0,0,0,5,0
MANABI,PORTOVIEJO,RIOCHICO_(RIO_CHICO),130155,0,-0.625,0,1.294994366,0.682690358,444.4,12.32,1111,71,15.648,0,71,0,67.77,2.5,1111,1019.91,0,152.79,0,23.68,0,1.48,44.78,31.38,593,18,37.6,99.8,1,2,0.5,1,1,0.54,38.19,14,0,6,96.21,1,0.83,55891.64,2,0,0,0,0,1,5,0.35
MANABI,PORTOVIEJO,SAN_PLACIDO,130156,0,-0.63,0,1.833069722,0.597763985,1834.3408,38.49,4577,162,28.253,0,162,0,14.54,2,4577,5257.07,0,129.27,0,3.71,0,0.62,47.27,36.45,691,25.2,36.2,100,0,0,0,1,1,0,34.4,48,0,12,82.49,1,3.25,38575.25,2,1,0,0,0,2,5,0
MANABI,PORTOVIEJO,CHIRIJOS,130157,0.019276923,-0.63,0,1.512730491,0.597742767,96.6816,17.13,263,23,11.435,0,23,0,19.48,2,224,1310.63,0,166.08,0,6.08,0,0.83,68.13,47.54,705,30.6,27,100,0,0,0,0.96,0,0,63.59,26,0.6448,12,49.94,1,0.6,17083.8,2,0,0,0,0,1,5,0
MANABI,BOLIVAR,CALCETA,130250,0.080315385,-0.62,0,1.919626418,0.597751639,4258.6224,40.92,10620,632,16.804,47,632,0.07,13.36,2.5,10620,14546.67,0,106.93,0,10.97,0,0.59,31.62,44.52,647,18.2,35,86.3,9,8,1.13,0.85,1,0,14.92,160,0.0005,2,198.55,1,0.85,582062.19,2,1,70,1,0,3,5,0.82
MANABI,BOLIVAR,MEMBRILLO,130251,0,-0.645,0,2.16232119,0.597756738,2704.9632,37.2,6727,413,16.288,0,413,0,10.95,2.5,6727,4507.02,2000,35.1,0,0,0,0.38,52.62,65.99,732,35.2,37.8,95,1,2,0.5,1,0,0,22.43,37,0.347,11,37.64,1,2.02,102994.04,2,1,0,0,0,1,5,0.66
MANABI,BOLIVAR,QUIROGA,130252,0.283603846,-0.615,0,1.789663548,0.597753191,1888.504,30.29,4677,254,18.413,0,254,0,18.78,2.5,4677,1865.81,2800,76.28,0,6.24,0,0.56,36.52,59.01,510,18.3,33.9,93.8,2,2,1,0.66,0,0,42.48,30,0,12,28.73,1,1.32,75786.6,2,1,0,0,0,2,5,1.5
